FB,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nom Produit,,,,,,,,Rotor,,Moteur,,Shaft,,,,,,,,,,,,,,,,,,,,,
,,ID,Marque,Réference,Gamme,Sous-Gamme,Classe,Date de Sortie,KV,Poids,Hauteur,Diametre,Hauteur,Diametre,Diammetre Shaft,Longeur Shaft,Type Shaft,Vis Hélice,Fixation,Entraxe de Fixation,Tension Lipo,Lipo Voltage,Longueur Cable,Type cable,Puissance,Conso Statique,Conso Full,Esc recommandé,Hélice recommandé,Amperage Max,Utilisation,Résistance,Aimant,Configuration,Lien Officiel,IMG
,,GEPR-1206-6000,GEPRC,GR1206,,,1206,,6000,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1206-7500,GEPRC,GR1206,,,1206,,7500,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1404-2750,GEPRC,GR1404,,,1404,,2750,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1404-3850,GEPRC,GR1404,,,1404,,3850,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1408-4100,GEPRC,GR1408,,,1408,,4100,,08,14,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1408-3750,GEPRC,GR1408,,,1408,,3750,,08,14,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1507-3200,GEPRC,GR1507,,,1507,,3200,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1507-2800,GEPRC,GR1507,,,1507,,2800,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1507-3200,GEPRC,GR1507,,,1507,,3200,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1507-3600,GEPRC,GR1507,,,1507,,3600,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-1507-4200,GEPRC,GR1507,,,1507,,4200,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2004-1750,GEPRC,GR2004,,,2004,,1750,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2004-2550,GEPRC,GR2004,,,2004,,2550,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2205-2300,GEPRC,GR2205,,,2205,,2300,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207-1900,GEPRC,GR2207,,,2207,,1900,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207-2400,GEPRC,GR2207,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207-2700,GEPRC,GR2207,,,2207,,2700,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207-1900,GEPRC,GR2207,,,2207,,1900,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207-2400,GEPRC,GR2207,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207-2700,GEPRC,GR2207,,,2207,,2700,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-1700,GEPRC,GR2207.5,,,2207.5,,1700,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-1920,GEPRC,GR2207.5,,,2207.5,,1920,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-2400,GEPRC,GR2207.5,,,2207.5,,2400,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-2750,GEPRC,GR2207.5,,,2207.5,,2750,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-1900,GEPRC,GR2207.5,,,2207.5,,1900,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-2400,GEPRC,GR2207.5,,,2207.5,,2400,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2207.5-2700,GEPRC,GR2207.5,,,2207.5,,2700,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2306-1600,GEPRC,GR2306,,,2306,,1600,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2306-2750,GEPRC,GR2306,,,2306,,2750,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2306-2450,GEPRC,GR2306,,,2306,,2450,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2306.5-1350,GEPRC,GR2306.5,,,2306.5,,1350,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2306.5-1850,GEPRC,GR2306.5,,,2306.5,,1850,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-2306.5-2450,GEPRC,GR2306.5,,,2306.5,,2450,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,GEPR-3500-3500,GEPRC,GR3500,,,3500,,3500,,00,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-0802-14000,HAPPYMODEL,EX0802,,,0802,,14000,,02,08,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-0802-19000,HAPPYMODEL,EX0802,,,0802,,19000,,02,08,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-0802-25000,HAPPYMODEL,EX0802,,,0802,,25000,,02,08,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1102-8500,HAPPYMODEL,EX1102,,,1102,,8500,,02,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1102-9000,HAPPYMODEL,EX1102,,,1102,,9000,,02,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1102-10000,HAPPYMODEL,EX1102,,,1102,,10000,,02,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1102-13500,HAPPYMODEL,EX1102,,,1102,,13500,,02,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1103-7000,HAPPYMODEL,EX1103S,,,1103,,7000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1103-6000,HAPPYMODEL,EX1103S,,,1103,,6000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1103-7000,HAPPYMODEL,EX1103S,,,1103,,7000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1103-8000,HAPPYMODEL,EX1103S,,,1103,,8000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1103-12000,HAPPYMODEL,EX1103S,,,1103,,12000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1105-5200,HAPPYMODEL,EX1105,,,1105,,5200,,05,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1202.5-6400,HAPPYMODEL,EX1202.5,,,1202.5,,6400,,.5,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1202.5-8000,HAPPYMODEL,EX1202.5,,,1202.5,,8000,,.5,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1202.5-11000,HAPPYMODEL,EX1202.5,,,1202.5,,11000,,.5,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1203-5500,HAPPYMODEL,EX1203,,,1203,,5500,,03,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1203-6200,HAPPYMODEL,EX1203,,,1203,,6200,,03,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1204-5000,HAPPYMODEL,EX1204,,,1204,,5000,,04,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1204-6500,HAPPYMODEL,EX1204,,,1204,,6500,,04,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1404-2750,HAPPYMODEL,EX1404,,,1404,,2750,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1404-3500,HAPPYMODEL,EX1404,,,1404,,3500,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-1404-4800,HAPPYMODEL,EX1404,,,1404,,4800,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-0603-16000,HAPPYMODEL,SE0603,,,0603,,16000,,03,06,,,,,,,,,,,,,,,,,,,,,,,,
,,HAPP-0603-19000,HAPPYMODEL,SE0603,,,0603,,19000,,03,06,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-1107-6500,HAWKSKY,AT1107,,,1107,,6500,,07,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-1107-7500,HAWKSKY,AT1107,,,1107,,7500,,07,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-1507-4200,HAWKSKY,AT1507,,,1507,,4200,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2207-2400,HAWKSKY,AT2207 II,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2207-2600,HAWKSKY,AT2207 II,,,2207,,2600,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2207-2400,HAWKSKY,AT2207 III,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2207-2600,HAWKSKY,AT2207 III,,,2207,,2600,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2306-2550,HAWKSKY,AT2306 II,,,2306,,2550,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2306-2650,HAWKSKY,AT2306 II,,,2306,,2650,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2607-2500,HAWKSKY,AT2607 II,,,2607,,2500,,07,26,,,,,,,,,,,,,,,,,,,,,,,,
,,HAWK-2607-2700,HAWKSKY,AT2607 II,,,2607,,2700,,07,26,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1404-4800,HGLRC,AEOLUS 1404,,,1404,,4800,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1404-3600,HGLRC,AEOLUS 1404,,,1404,,3600,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1202.5-5600,HGLRC,AEOLUS 1202.5,,,1202.5,,5600,,.5,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1202.5-8000,HGLRC,AEOLUS 1202.5,,,1202.5,,8000,,.5,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1202.5-11600,HGLRC,AEOLUS 1202.5,,,1202.5,,11600,,.5,12,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1303.5-2500,HGLRC,AEOLUS 1303.5,,,1303.5,,2500,,.5,13,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1303.5-4500,HGLRC,AEOLUS 1303.5,,,1303.5,,4500,,.5,13,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2004-3000,HGLRC,AEOLUS 2004,,,2004,,3000,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2004-1800,HGLRC,AEOLUS 2004,,,2004,,1800,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2306.5-1900,HGLRC,AEOLUS 2306.5,,,2306.5,,1900,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2306.5-2550,HGLRC,AEOLUS 2306.5,,,2306.5,,2550,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2307.5-1750,HGLRC,AEOLUS 2307.5,,,2307.5,,1750,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2307.5-1900,HGLRC,AEOLUS 2307.5,,,2307.5,,1900,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2307.5-1950,HGLRC,AEOLUS 2307.5,,,2307.5,,1950,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2307.5-2550,HGLRC,AEOLUS 2307.5,,,2307.5,,2550,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2307.5-2600,HGLRC,AEOLUS 2307.5,,,2307.5,,2600,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1106-3800,HGLRC,FD1106,,,1106,,3800,,06,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1106-2400,HGLRC,FD1106,,,1106,,2400,,06,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1106-6000,HGLRC,FLAME 1106,,,1106,,6000,,06,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1407-3600,HGLRC,FLAME 1407,,,1407,,3600,,07,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1103-8000,HGLRC,FORWARD 1103,,,1103,,8000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1103-10000,HGLRC,FORWARD 1103,,,1103,,10000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1408-3600,HGLRC,FORWARD 1408,,,1408,,3600,,08,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-1408-2400,HGLRC,FORWARD 1408,,,1408,,2400,,08,14,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2306-2450,HGLRC,FORWARD 2306,,,2306,,2450,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HGLR-2306-1600,HGLRC,FORWARD 2306,,,2306,,1600,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-1875-850,HOBBYKING,1875 B-17 FLYING FOREST V2,,,1875,,850,,75,18,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--750,HOBBYKING,ACK-2810CQ,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--7000,HOBBYKING,AP-03,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--4000,HOBBYKING,AP-03,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--7000,HOBBYKING,AP02,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3000,HOBBYKING,AP05,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3800,HOBBYKING,ASSAULT 450 SERIES,,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1600,HOBBYKING,ASSAULT 500 SERIES,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3536-850,HOBBYKING,AVIOS BUSHMULE AEROSTAR 3536,,,3536,,850,,36,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2627-1000,HOBBYKING,AVIOS C-130 2627,,,2627,,1000,,27,26,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-5045-500,HOBBYKING,AVIOS GRAND TUNDRA SK3 5045,,,5045,,500,,45,50,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2627-1500,HOBBYKING,AVRO LANDCASTER V3 DUMBO 2627,,,2627,,1500,,27,26,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2306-2000,HOBBYKING,AX 2306N,,,2306,,2000,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2308-1800,HOBBYKING,AX 2308N,,,2308,,1800,,08,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2308-1100,HOBBYKING,AX 2308N,,,2308,,1100,,08,23,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--4000,HOBBYKING,B36-60-06L,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2430-1400,HOBBYKING,BIX3 TRAINER 2630,,,2430,,1400,,30,24,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2030-5800,HOBBYKING,BL 2030-16,,,2030,,5800,,30,20,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2805-1600,HOBBYKING,CF 2805,,,2805,,1600,,05,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3000,HOBBYKING,DR MAD THRUST,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2300,HOBBYKING,DR MAD THRUST,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1600,HOBBYKING,DR MAD THRUST,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2950-3300,HOBBYKING,DR MAD THRUST 2950,,,2950,,3300,,50,29,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3900,HOBBYKING,DR MAD THRUST EDF,,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--8000,HOBBYKING,DR MAD THRUST EDF,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1250,HOBBYKING,DR MAD THRUST EDF,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--800,HOBBYKING,DURAFLY AUTO-G GYROCOPTER,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1300,HOBBYKING,DURAFLY BONANZA,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2217-1200,HOBBYKING,DURAFLY BREWSTER F2A BUFFALO D2217,,,2217,,1200,,17,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3300,HOBBYKING,DURAFLY D.H.100 VAMPIRE V2 EDF,,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3536-1780,HOBBYKING,DURAFLY EFXTRA 3536,,,3536,,1780,,36,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3542-800,HOBBYKING,DURAFLY EXALIBUR AEROSTAR 3542,,,3542,,800,,42,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2200,HOBBYKING,DURAFLY ME-163,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3736-770,HOBBYKING,DURAFLY SPITFIRE 3736,,,3736,,770,,36,37,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3536-750,HOBBYKING,DURAFLY T-28 TROJAN V2 D3536,,,3536,,750,,36,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3636-900,HOBBYKING,DURAFLY TUNDRA 3636,,,3636,,900,,36,36,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2205-2600,HOBBYKING,EMAX RS2205-S,,,2205,,2600,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2805-2840,HOBBYKING,FC 2805,,,2805,,2840,,05,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2812-1534,HOBBYKING,FC 2812,,,2812,,1534,,12,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2822-1200,HOBBYKING,FC 2822,,,2822,,1200,,22,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3648-700,HOBBYKING,J3 NAVY CUB D3648,,,3648,,700,,48,36,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4465-1520,HOBBYKING,KB 4465,,,4465,,1520,,65,44,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4465-1650,HOBBYKING,KB 4465,,,4465,,1650,,65,44,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3636-1000,HOBBYKING,KEDA 3636,,,3636,,1000,,36,36,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-1510-2200,HOBBYKING,LD1510-02-P,,,1510,,2200,,10,15,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-1550-900,HOBBYKING,PHAMTOM 1550,,,1550,,900,,50,15,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-1200,HOBBYKING,PORPDRIVE V2 2836,,,2836,,1200,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2826-1100,HOBBYKING,PROPDRIVE V2 2826,,,2826,,1100,,26,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2826-1000,HOBBYKING,PROPDRIVE V2 2826,,,2826,,1000,,26,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2826-1350,HOBBYKING,PROPDRIVE V2 2826,,,2826,,1350,,26,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2830-1200,HOBBYKING,PROPDRIVE V2 2830,,,2830,,1200,,30,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2830-1000,HOBBYKING,PROPDRIVE V2 2830,,,2830,,1000,,30,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2830-800,HOBBYKING,PROPDRIVE V2 2830,,,2830,,800,,30,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-1000,HOBBYKING,PROPDRIVE V2 2836,,,2836,,1000,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-1400,HOBBYKING,PROPDRIVE V2 2836,,,2836,,1400,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-2300,HOBBYKING,PROPDRIVE V2 2836,,,2836,,2300,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-2700,HOBBYKING,PROPDRIVE V2 2836,,,2836,,2700,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-1800,HOBBYKING,PROPDRIVE V2 2836,,,2836,,1800,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-3000,HOBBYKING,PROPDRIVE V2 2836,,,2836,,3000,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2836-2200,HOBBYKING,PROPDRIVE V2 2836,,,2836,,2200,,36,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3530-1400,HOBBYKING,PROPDRIVE V2 3530,,,3530,,1400,,30,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3536-1800,HOBBYKING,PROPDRIVE V2 3536,,,3536,,1800,,36,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3536-910,HOBBYKING,PROPDRIVE V2 3536,,,3536,,910,,36,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3536-1400,HOBBYKING,PROPDRIVE V2 3536,,,3536,,1400,,36,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3542-1000,HOBBYKING,PROPDRIVE V2 3542,,,3542,,1000,,42,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3542-1250,HOBBYKING,PROPDRIVE V2 3542,,,3542,,1250,,42,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3548-1100,HOBBYKING,PROPDRIVE V2 3548,,,3548,,1100,,48,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-3548-900,HOBBYKING,PROPDRIVE V2 3548,,,3548,,900,,48,35,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4238-750,HOBBYKING,PROPDRIVE V2 4238,,,4238,,750,,38,42,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4248-650,HOBBYKING,PROPDRIVE V2 4248,,,4248,,650,,48,42,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4258-500,HOBBYKING,PROPDRIVE V2 4258,,,4258,,500,,58,42,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4258-500,HOBBYKING,PROPDRIVE V2 4258,,,4258,,500,,58,42,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-5050-580,HOBBYKING,PROPDRIVE V2 5050,,,5050,,580,,50,50,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-5060-270,HOBBYKING,PROPDRIVE V2 5060,,,5060,,270,,60,50,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-5060-380,HOBBYKING,PROPDRIVE V2 5060,,,5060,,380,,60,50,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2630-1000,HOBBYKING,SUPER KINETIC 2630,,,2630,,1000,,30,26,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2838-3600,HOBBYKING,SURPASS 2838,,,2838,,3600,,38,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2845-3100,HOBBYKING,SURPASS 2845,,,2845,,3100,,45,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--4800,HOBBYKING,SURPASS HOBBY 2435,,,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2600,HOBBYKING,SURPASS HOBBY 3660,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2250,HOBBYKING,SURPASS HOBBY 3674,,,,,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-1712-2290,HOBBYKING,THRUST 1712,,,1712,,2290,,12,17,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2025,HOBBYKING,TRACKSTAR,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ok,HOBB-2837-3200,HOBBYKING,TRACKSTAR 380,,,2837,,3200,,37,28,,,,,,,,,,,,,,,,,,,,,,,,
,ok,HOBB-2837-3800,HOBBYKING,TRACKSTAR 380,,,2837,,3800,,37,28,,,,,,,,,,,,,,,,,,,,,,,,
,ok,HOBB-2837-4400,HOBBYKING,TRACKSTAR 380,,,2837,,4400,,37,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1855,HOBBYKING,TRACKSTAR ROAR,,,,,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2270,HOBBYKING,TRACKSTAR ROAR,,,,,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3040,HOBBYKING,TRACKSTAR ROAR,,,,,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1855,HOBBYKING,TUNIRGY TRACKSTAR,,,,,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--1500,HOBBYKING,TUNRNIGY SK3 FANDRIVE EDF,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--2100,HOBBYKING,TURNIGY,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2217-1050,HOBBYKING,TURNIGY 2217,,,2217,,1050,,17,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2226-3000,HOBBYKING,TURNIGY 2226,,,2226,,3000,,26,22,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--3600,HOBBYKING,TURNIGY 250 SERIES,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2610-4500,HOBBYKING,TURNIGY 2610 EDF,,,2610,,4500,,10,26,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2815-4000,HOBBYKING,TURNIGY 2815 EDF,,,2815,,4000,,15,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2830-900,HOBBYKING,TURNIGY 2830 L2215J,,,2830,,900,,30,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-4363.4-1900,HOBBYKING,TURNIGY 4363.4,,,4363.4,,1900,,.4,43,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB--245,HOBBYKING,TURNIGY AERODRIVE SK3,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2118-3100,HOBBYKING,TURNIGY AERODRIVE SK3 2118,,,2118,,3100,,18,21,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2822-1275,HOBBYKING,TURNIGY AERODRIVE SK3 2822,,,2822,,1275,,22,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2822-1740,HOBBYKING,TURNIGY AERODRIVE SK3 2822,,,2822,,1740,,22,28,,,,,,,,,,,,,,,,,,,,,,,,
,,HOBB-2822-1740,HOBBYKING,TURNIGY AERODRIVE SK3 2822,,,2822,,1740,,22,28,,,,,,,,,,,,,,,,,,,,,,,,
